,question,answer,generated
39,What is the origin of the name 'Montefiascone'?,"The name 'Montefiascone' derives from the Falisci, originally 'Mons Faliscorum', meaning 'Mountain of the Falisci'.",It is derived from the Latin word 'Fasola'
40,What is William Faulkner's first novel?,Soldiers' Pay.,The Great Gatsby
41,When was the Kriegsmarine the navy of Nazi Germany?,1935 to 1945,1930
42,When and where did Kabarett venues start appearing in Germany?,"Kabarett venues started appearing in Germany from 1901, with the creation of Berlin's Überbrettl venue.",**
43,How long is the Kurfürstendamm?,3.5 km (2.2 mi),It is 10 kilometers long.
44,What treaty did the Kriegsmarine violate by expanding in the 1930s?,The Treaty of Versailles,The Treaty of Versailles
45,What was the nationality of Gustav Teichmüller?,German,He was American.
46,When was Gustav Teichmüller born?,"November 19, 1832",He was born in 1945
47,What was Aurich made the capital of during the First French Empire?,The department Ems-Oriental,The Roman Empire
48,Where did Gustav Teichmüller receive his education in philosophy?,Berlin,The University of Berlin
49,What was the capital of the Duchy of Saxe-Merseburg?,Merseburg,The capital was in London. 
50,What was required of every clergyman in the Electorate of Saxony regarding the Formula of Concord?,Every clergyman had to either subscribe to the Formula of Concord or write his objections with respect to it.,They were not allowed to wear religious symbols.
51,Where did Johann Crüger receive his early education?,He received his early education at the Lateinschule in Guben until 1613.,He attended a private school in London. 
52,Has the debt Mittenwalde lent to Berlin ever been repaid?,No,No
53,Where is the Schechter Institute of Jewish Studies located?,Jerusalem,The institute is located in Israel.
54,What was the principal objective of the Verein für Kultur und Wissenschaft der Juden?,Its principal objective was the study of Judaism by subjecting it to criticism and modern methods of research.,The Verein was focused on promoting Jewish art and design.
55,What are some related fields to Jewish studies?,"Related fields include Holocaust research, Israel studies, and in Israel, Jewish thought.",The arts
56,Who was the founding director of the Katz Center?,David B. Ruderman.,**
57,When was Grinnell College founded?,1846,The college was founded in 1820
58,What notable firsts occurred at Grinnell College in terms of sports?,The first intercollegiate football and baseball games west of the Mississippi were played there,The college introduced a new athletic program for women's sports.
59,"Which two villages are included within the town of Lenox, Massachusetts?",New Lenox and Lenoxdale,The village of Oakwood
60,When was Smith College chartered and by whom?,Smith College was chartered in 1871 by Sophia Smith.,The college was chartered in 1800 by King George III. 
61,What unique collection did Copper Canyon Press publish in 2016?,"Then Come Back: The Lost Neruda Poems, a collection of lost poems by Pablo Neruda",The Golden Gate Bridge
62,Can you name a bestseller by Edward Hirsch about reading poetry?,The document does not specify the title of the bestseller.,No
63,What is Kwame Dawes' current role at the University of Nebraska-Lincoln?,Professor of English,He is the Dean of the College of Arts and Sciences.
64,Who was Ben Black Elk's father?,Black Elk,He was a great warrior
65,What role is Ben Black Elk known as in relation to Mount Rushmore?,"the ""fifth face"" of Mount Rushmore",He was the architect who designed the monument's layout.
66,What term is used to collectively refer to Appenzell Innerrhoden and Appenzell Ausserrhoden in political contexts?,beide Appenzell,They are referred to as the Appenzell Alliance.
67,In what book did Ben Black Elk serve as an interpreter for his father's interviews?,Black Elk Speaks,The Great Gatsby 
68,During which world conflict was the Hansa utilized by Nazi Germany's Kriegsmarine?,World War II,The First World War
69,Why was the Treaty of Warsaw significant from the Polish perspective?,"It was considered a compensation for the former Polish territory east of the Curzon Line, annexed by the Soviet Union in 1939.",The treaty marked the beginning of the end of the Soviet Union.
70,What significant event in Dieter Hildebrandt's life happened in 1944?,He was admitted to the Nazi Party on 20 April 1944.,He won the Nobel Prize in Physics
71,When did the meetings of Group 47 end?,1967,The meetings were held in 2010
72,What position succeeded the Secretary to the Board of Control after its abolition?,Under-Secretary of State for India,The Chairman
73,What was the role of the Secretary to the Board of Control?,"Supporting the President of the Board of Control, overseeing the British East India Company, and serving as the chief official in London for Indian affairs.",The person was in charge of the security of the president's residence.
74,What significant event inspired the founding of the Royal Literary Fund?,"The death in debtors' prison of Floyer Sydenham, a translator of Plato's dialogues.",The event was the discovery of a lost city in the Amazon.
75,"When was Robert Smith, 1st Baron Carrington, born?",22 January 1752,He was born in 1945
76,What is the official name of the John Hancock Center as of 2018?,875 North Michigan Avenue,The Empire State Building
77,How much office and retail space does Canary Wharf contain?,"Canary Wharf contains around 16,000,000 sq ft (1,500,000 m2) of office and retail space.","It contains 100,000 square feet of space."
78,What is Canary Wharf known for?,"Canary Wharf is known for being one of the main financial centres in the United Kingdom and the world, containing many high-rise buildings including One Canada Square.",It is a popular tourist destination.
79,"How tall is the John Hancock Center, including its antenna masts?","1,500 feet","The building is 1,000 feet tall."
80,What river does London stand on?,The River Thames.,The Nile
81,What significant contribution did Fanny Kemble make towards abolitionism?,"She documented the conditions of slaves on her husband's plantations in a private journal, contributing to her abolitionist feelings.",She wrote a book about her experiences on a plantation.
82,When did the appointment of governors in Western Australia transition from British officials to Australian citizens?,1948 with the appointment of Sir James Mitchell,The year was 1900.
83,What was the original name of the Royal Geographical Society?,Geographical Society of London,The British Museum
84,When was Yale University founded?,1701,The university was founded in 1950
85,"Can book collecting be an affordable hobby and if so, where can one find books?","Yes, book collecting can be affordable. Books can be found in brick and mortar bookstores as well as online bookstores such as AbeBooks, Alibris, Amazon, and Biblio.com.",**
86,"What significant action did Brown, Boveri & Cie take in 1970?","In 1970, Brown, Boveri & Cie took over the Maschinenfabrik Oerlikon.",They launched a new product line.
87,What was Yale University originally established as in 1701?,The Collegiate School,The University of California
88,What is the capital city of Austria?,The capital city of Austria is Vienna.,The capital city of Australia. 
89,When and where was Kurt Waldheim born?,"Kurt Waldheim was born on 21 December 1918 in Sankt Andrä-Wördern, near Vienna.",He was born in the United States. 
90,What are the main sectors that dominate the Croatian economy?,"Service, industrial sectors, and agriculture",The tourism industry
91,When did Peru formally proclaim its independence from Spain?,1821.,2020
92,"What significant historical event took place in Salem, Massachusetts in 1692?",The Salem witch trials.,The event was the signing of the Declaration of Independence.
93,How was Augustus Lowell related to John Lowell?,John Lowell was his great-grandfather.,They were brothers.
94,"When was the American Antiquarian Society founded, and what is its significance?","Founded in 1812, it is the oldest historical society in the United States with a national focus.","The society was founded in 1776, and it is significant because it was the first organization to promote the study of ancient civilizations. "
95,Name one historical event that took place in Boston during the American Revolution.,The Boston Massacre,The Battle of Gettysburg
96,How many members are there in the European Commission?,27 members,The number is 20
97,What is the Panteion University of Social and Political Sciences?,"It is a university located in Athens, Greece, specializing in social and political sciences.",It is a university that focuses on the arts.
98,What is the role of Directorates-General within the European Commission?,"Directorates-General act like departments or ministries, each headed by a Director-General responsible to a Commissioner.",They are responsible for implementing policies in member states.
99,When was the Aristotle University of Thessaloniki founded?,1925,The year was 1950
100,What is the official name of China?,People's Republic of China,The United States 
101,What was Alexey Brodovitch's family background?,"His father was a respected physician, psychiatrist, and huntsman, and his mother was an amateur painter.",He was from a wealthy family.
102,What was Harper's Bazaar originally published as?,A weekly Harper's Bazar,The New York Times
103,For which film did Joan Crawford win the Academy Award for Best Actress?,Mildred Pierce,The Silence of the Lambs
104,What are the two official languages of Canada?,English and French,The English language
105,How has Herbal Magic adapted its business model in recent years?,"Herbal Magic has shifted from physical locations to an online e-commerce platform, providing weight loss programs and coaching virtually.",The company has expanded its product line to include more natural ingredients.
106,What titles did Peter Dunfield achieve in Canadian national single skating?,"Junior title in 1951, and bronze on the senior level in 1952 and 1953",He won the gold medal in the 100m dash.
107,How many university and college institutions are mentioned as being in Ottawa?,4,There are 10
108,What are the three distinct genders found in the Latin language?,"masculine, feminine, and neuter","They are male, female, and non-binary."
109,What is the Greek Anthology?,"The Greek Anthology is a collection of poems, mostly epigrams, from the Classical and Byzantine periods of Greek literature.",The ancient Egyptian pantheon
110,What is the Palatine Anthology?,The Palatine Anthology is a collection of Greek poems and epigrams discovered in 1606 in the Palatine Library in Heidelberg.,The Palatine Anthology is a collection of Shakespeare's sonnets.
111,What led to Latin being considered a dead language despite its extensive use?,It lacked native speakers.,The rise of English as a global language
112,What is Paris known as due to its extensive system of street lighting in the 19th century?,City of Light,The City of Dreams
113,When and where was Albéric Magnard born?,9 June 1865 in Paris.,He was born in France in 1945. 
114,What is the full title of the ballet Chout?,Tale of the Jester Who Outwits Seven Other Jesters,The Nutcracker
115,What year did Paris first host the Olympic Games?,1900,2020
116,Which two international airports serve Paris?,Charles de Gaulle Airport and Orly Airport,The airports are London and New York. 
117,When was the historical district along the Seine in Paris classified as a UNESCO World Heritage Site?,1991,The year was 2000
118,How does the University of Geneva rank in terms of its size in Switzerland?,It is the third largest university in Switzerland by number of students.,"The University of Geneva is the largest university in Switzerland, with over 100,000 students enrolled. "
119,"How many principal operational organizations does the United Nations have, and can you name one?","The UN has six principal operational organizations, one of which is the General Assembly.",The organization has 5
120,What is the official language of Hungary?,Hungarian,The English language
121,When and where was Mikhail Chigorin born?,12 November 1850 in Gatchina.,He was born in Russia in 1800
122,What significant title did Jacques Mieses receive from FIDE in 1950?,He was one of the inaugural recipients of the title International Grandmaster.,He was awarded the Grandmaster title.
123,When did Hungary join the European Union?,2004,The year was 2000
124,What are the three capitals of South Africa?,"Pretoria is the administrative capital, Cape Town is the legislative capital, and Bloemfontein is the judicial capital.",**
125,What were the names of the two major cities in Rhodesia?,Salisbury and Bulawayo,**
126,"When was the Brenthurst Library built, and by whom?",The Brenthurst Library was built in 1984 by Harry Oppenheimer.,"The library was built in the 19th century by a group of philanthropists. They wanted to create a library that was accessible to everyone, regardless of their socio-economic background. The library was built in the 20th century by a group of tech-savvy individuals. They wanted to create a library that was focused on technology and innovation. The library was built in the 18th century by a group of historians. They wanted to create a library that was focused on historical research and archives. The library was built in the 15th century by a group of artists. They wanted to create a library that was focused on art and culture. "
127,What was King's Lynn known as until 1537?,Bishop's Lynn,The Edinburg Castle
128,Where was Paula Prentiss born?,"San Antonio, Texas.",She was born in New York City. 
129,What separates the two parts of Clamart?,A forest separates the two parts of Clamart.,The Eiffel Tower
130,What was Peter Sellers known for?,"Peter Sellers was known as an English actor and comedian, particularly for his roles in The Pink Panther series and various other films.",He was a famous actor who won numerous awards for his performances.
131,In what year was Connie Francis recognized as the most successful female artist in several countries?,1960,2010
132,What is the main plot of 'The Man Who Was Sherlock Holmes'?,The investigation of two sisters and the theft and forgery of valuable postage stamps,The story revolves around a detective who solves a murder case.
133,What was the primary purpose of building F.P.1 according to the film?,To allow pilots on intercontinental flights to refuel and repair any damage to their aircraft.,The character wanted to learn how to fly a plane.
134,What is the capital city of Austria?,Vienna,The capital city of Australia. 
135,Where is the main campus of the University of Chicago located?,The main campus of the University of Chicago is located in Chicago's Hyde Park neighborhood.,The campus is in New York City. 
136,What significant achievement is Alfred Sturtevant known for in the field of genetics?,Constructing the first genetic map of a chromosome in 1911.,He discovered the first vaccine for a common cold.
137,What professional societies was Edward Tatum a member of?,"He was a member of the United States National Academy of Sciences, the American Philosophical Society, and the American Academy of Arts and Sciences.",The American Medical Association
138,What organism did Alfred Sturtevant primarily work with during his genetic research?,Drosophila melanogaster.,The yeast
139,What year did Charles IV become Holy Roman Emperor?,1355,He became in 1500
140,How is Charles IV viewed in the Czech Republic today?,He remains a popular historical figure in the Czech Republic.,He is revered as a god
141,What river is Nantes located on?,Loire,The Rhine
142,What does 'Le Fresne-sur-Loire' literally translate to in English?,Le Fresne on Loire.,The Loire River's biggest fish
143,What global city ranking did Nantes receive from the Globalization and World Cities Research Network in 2020?,Gamma world city,The city was ranked 10th
144,With which city does Nantes form a major north-western French metropolitan agglomeration?,Saint-Nazaire,The city of Barcelona
145,What is the capital city of Kosovo?,Pristina,The capital city of Australia. 
146,What stance did the Democratic League of Kosovo take towards Kosovo's independence?,The LDK continually supported the independence of Kosovo.,The League supported independence
147,What is Veton Surroi known for in Kosovo?,"Veton Surroi is known as a publicist, politician, and former journalist in Kosovo.",He is a famous artist.
148,What is the capital and largest city of Serbia?,Belgrade.,Beijing
149,What is Arthur Schopenhauer known for?,His 1818 work The World as Will and Representation.,He was a philosopher who believed in the power of positive thinking.
150,Who founded the Gymnasium Christianeum?,King Christian VI of Denmark,The current Prime Minister of Australia
151,What is the name of Immanuel Kant's best-known work?,Critique of Pure Reason,The Metamorphosis
152,What languages are officially bilingual in the Brussels-Capital Region?,French and Dutch,The English language
153,What professions did Edmond Picard have?,"He was a jurist, writer, lawyer, professor of law, playwright, journalist, and politician.",He was a doctor
154,What future technological concepts did Traité de Documentation predict?,The rise of the World Wide Web and search engines.,The development of artificial intelligence
155,What is Brussels known as in relation to the European Union?,The de facto capital of the European Union,The United Kingdom
156,What surface is the French Open played on?,Clay,The court is made of a special material that is lightweight and easy to transport.
157,What significant achievement did Francesca Schiavone accomplish at the 2010 French Open?,She became the first Italian woman to win a Grand Slam event in singles.,She won the championship by defeating a top-ranked opponent.
158,Who did Elena Dementieva marry and when?,She married hockey player Maxim Afinogenov on 16 July 2011.,She married in 2012
159,In what year did the French Open first allow both amateurs and professionals to compete?,1968,**
160,Who established the Nobel Prize in Physics?,Alfred Nobel,A famous scientist named Albert Einstein
161,What is Berlin's largest lake?,Müggelsee.,The Great Lake
162,How are recipients of the National Medal of Science selected?,"Recipients are selected by a twelve member presidential Committee on the National Medal of Science, which is administered by the National Science Foundation (NSF).",They are chosen by a popular vote.
163,When was the University of Washington founded?,1861,The year was 1850
164,What are the names of the two international airports serving Paris?,Charles de Gaulle Airport and Orly Airport,The airports are located in the city center.
165,What are some of the main themes explored in Rilke's works?,"Mysticism, subjective experience, and disbelief",The exploration of the human condition and the search for meaning
166,When was the historical district along the Seine in Paris classified as a UNESCO World Heritage Site?,Since 1991,The year was 2000
167,Which museum in Paris was on track to keep its position as the most-visited art museum in the world in 2023?,The Louvre,The Louvre
168,When was Chicago incorporated as a city?,1837,The year was 1800
169,What is the origin of the name 'Chicago'?,Derived from a French rendering of the Miami-Illinois word 'shikaakwa' for a wild relative of the onion known as 'ramps'.,The name was derived from a Native American tribe. The name was given by a French explorer. The name was inspired by a famous painting. 
170,"What is the purpose of the Twenty-third Amendment in relation to Washington, D.C.?",It allows the city's voters to choose three presidential electors.,The amendment was created to give more representation to the residents of California. 
171,How many boroughs does New York City comprise of?,Five,10
172,What language is officially used in Bern?,German,The French
173,What event causes the family in The Swiss Family Robinson to become shipwrecked?,"Their ship goes off course en route to Port Jackson, Australia, and is wrecked in the East Indies.",They were driving to the beach.
174,What did Gottlieb Jakob Kuhn co-found in 1811?,He co-founded the folkloristic periodical Alpenrosen.,The FIFA World Cup
175,When did Bern's historic old town become a UNESCO World Heritage Site?,1983,2010
176,What significant facilities does the Polygone Scientifique host?,Research centers,The Space Station
177,How did Brive-la-Gaillarde contribute to World War II?,"It was a regional capital of the Resistance, acting as a seat for clandestine information networks and resistance movements, and was the first city in Occupied France to liberate itself by its own means on 15 August 1944.",The team won the championship in 2015.
178,When was the University of Strasbourg originally founded?,16th century,The year 2000
179,What field did Hannes Alfvén receive the Nobel Prize in Physics for?,Magnetohydrodynamics (MHD),The Nobel Prize in Chemistry 
180,What was the original birth name of Plato?,Aristocles.,Aristotle
181,"Who is credited with coining the term 'rinascita', which is related to the Renaissance, and in which work did it appear?","Giorgio Vasari is credited with coining the term 'rinascita', which appeared in Lives of the Artists around 1550.",The artist Pablo Picasso
182,How did Aby Warburg's approach to art history differ from traditional methods?,"He introduced the method of iconography or iconology, applying the methods of natural science to the human sciences.",He focused on the cultural significance of art in modern society.
183,What is the name of the river along which Berlin was built?,The Spree river,Elbe
184,Which two international airports serve Paris?,Charles de Gaulle Airport and Orly Airport,The London and Manchester airports 
185,What was Paris known as in the 19th century due to its early and extensive system of street lighting?,City of Light,**
186,What is the main focus of the Skagens Museum's collection?,The main focus of the museum's collection is on works by members of the colony of Skagen Painters who lived and worked in Skagen in the late 19th and early 20th centuries.,The museum's collection is focused on ancient Egyptian artifacts. 
187,"What type of school was Skagen's first school, and when was it in operation?","Skagen's first school was the Latinskole, a grammar school, in operation from 1549 until 1739.","I was late for my school bus, and I missed the bus. "
188,What is the official name of Poland?,Republic of Poland,**
189,Did the Free Polish University continue its activities after World War II?,"No, its activities were not resumed after the war.","No, it was disbanded due to lack of funding. "
190,What role did Ignacy Daszyński play in the formation of the Polish Socialist Party?,"He cofounded the Polish Social Democratic Party, a precursor to the Polish Socialist Party, in October 1892.",He was the leader of the party and was in charge of its military strategy.
191,What is the highest point in Poland?,Mount Rysy,The Eiffel Tower
192,What is the capital city of Austria?,Vienna,The capital city of Australia. 
193,When did Hafjell Bike Park start?,Hafjell Bike Park started in 2001.,The park was established in 2010
194,Which countries border Austria to the south?,Slovenia and Italy,The United States
195,When did Austria become a member of the European Union?,1995,The year was 2000
196,What is the main plot of Dark Crimes?,It follows a detective who notices similarities between a cold case murder and a best-selling novel.,The movie is about a detective who solves a series of murders in a small town. 
197,What is Hannes' passion in Trains'n'Roses?,Train timetable enthusiast,He loves playing video games.
198,Who directed the film The Man Without a Past?,Aki Kaurismäki,Benny Hill
199,When was Amazing Stories first launched?,April 1926,The year 2010
200,What inspired Victoria Poyser to become a Science Fiction Fantasy Artist?,Being inspired by the World Fantasy Convention in 1979.,She was a huge fan of anime and manga.
201,What was significant about Philip K. Dick's relationship with Planet Stories?,Planet Stories published Philip K. Dick's first sale and printed four more of his stories over the next three years.,"He was the author of the book ""Do Androids Dream of Electric Sheep?"""
202,Who was the founder of Amazing Stories?,Hugo Gernsback,He was a writer
203,What is the largest settlement in Somerset?,Bath,The city of Bristol
204,When did Bath Spa University gain full university status?,August 2005,In 2010
205,What is the elevation of Braemar in meters?,339 meters,The elevation is 500
206,What is the focus of ArtReview magazine?,Contemporary art,The art world's latest trends and styles
207,What is the county town of Kent?,Maidstone,**
208,How far is Eltham from Charing Cross?,Eltham is 8.7 miles (14.0 km) east-southeast of Charing Cross.,The London Eye
209,Where is Well Hall located?,"Well Hall is located to the north of Eltham in the Royal Borough of Greenwich, southeast London, England.",The United States
210,What are the two Areas of Outstanding Natural Beauty located in Kent?,the North Downs and The High Weald,The White Cliffs of Dover
211,When did Palatinate-Neuburg join the Protestant Union?,1608,The year was 1517
212,In which district is Meisenheim located?,Bad Kreuznach district,The district is in Germany
213,When was the London School of Economics and Political Science (LSE) founded?,1895,The year was 1945
214,When was New York University (NYU) chartered and by whom?,NYU was chartered in 1831 by the New York State Legislature.,The charter was granted in 1750 by the British monarch.
215,What significant role did JoAnne Yates hold at the MIT Sloan School of Management?,"Sloan Distinguished Professor of Management, Emerita.",She was the dean of the school.
216,What is the title of the book authored by Karen Barad?,Meeting the Universe Halfway: Quantum Physics and the Entanglement of Matter and Meaning,"""The Feminine Mystique"" ""To Kill a Mockingbird"" ""The Handmaid's Tale"" "
217,What is EuroBasket also known as?,The European Basketball Championship,The NBA
218,What is the official name of Lithuania?,Republic of Lithuania,The United States 
219,Which team holds the record for the most gold medals in EuroBasket?,The former Soviet Union,The United States
220,What does it mean when a team's name is in bold during the 2018 CBA Playoffs bracket?,The team advanced to the next round,**
221,Who was the first recipient of the Nobel Prize in Physics?,Wilhelm Röntgen,Albert Einstein
222,"Why is Green Bank, West Virginia, a significant location for people with electromagnetic hypersensitivity?","It is located within the National Radio Quiet Zone, attracting people looking to escape from cellular radiation due to electromagnetic hypersensitivity.",It's a popular tourist destination for its beautiful mountains and outdoor activities. 
223,How did the community of Green Bank get its name?,It was named for a green riverbank near the original town site.,The name was chosen by a group of astronomers who were trying to find a new location for their observatory.
224,In what year was the Bronx High School of Science founded?,1938.,The year was 1920
225,When did the British invasions of the River Plate take place?,Between 1806 and 1807.,They occurred in the 18th century.
226,What is Heidelberg famous for in terms of education?,"Heidelberg University, Germany's oldest university",The University of Oxford
227,What is the University of Basel known for?,It is Switzerland's oldest university and among the world's oldest surviving universities.,The University of Basel is known for its strong programs in engineering and technology.
228,What is the University of Tübingen especially known for?,"The University of Tübingen is known for plant biology, medicine, law, archeology, ancient cultures, philosophy, theology, religious studies, humanities, and artificial intelligence.",The sports teams
229,How many books are in the New Testament canon recognized by almost all Christian traditions today?,27,The number is 50
230,What is Havana the capital city of?,Cuba,The United States
231,When was Count Basie born?,"August 21, 1904",He was born in 1920
232,What is Afro-Cuban jazz?,"Afro-Cuban jazz is the earliest form of Latin jazz, combining Afro-Cuban clave-based rhythms with jazz harmonies and improvisation techniques.",It is a type of electronic dance music.
233,What instruments did Dizzy Gillespie play?,Trumpet,He played the guitar.
234,Who originally produced the PackBot series of military robots before Endeavor Robotics?,iRobot,The company was founded by Elon Musk.
235,What roles did Penny Pritzker serve in the Obama administration?,She served as the 38th United States secretary of commerce from 2013 to 2017.,She was the Secretary of Defense.
236,What is Rodney Allen Brooks known for in the field of robotics?,Popularizing the actionist approach to robotics.,He is the inventor of the first self-driving car.
237,In what year was the PackBot first deployed to aid United States Troops?,2002,2020
238,When did the United States officially declare its independence?,"July 4, 1776",The 18th century
239,What political party did the members of the Bourbon Triumvirate belong to?,The members of the Bourbon Triumvirate belonged to the Democratic Party.,They were Democrats
240,What is the United States' position in terms of global economic size as of 2023?,largest nominal GDP,The country is ranked 2nd in terms of GDP.
241,When was the Battle of South Mountain fought?,"September 14, 1862",The battle was fought in 1812
242,What river is Vienna located on?,The Danube river,The Nile
243,What empire was Moravia a part of from 1004 to 1806?,The Holy Roman Empire,The Roman Empire
244,What architectural styles are prevalent in the historic center of Vienna?,"Baroque palaces and gardens, and late-19th-century buildings",**
245,Who was the world's first psychoanalyst that lived in Vienna?,Sigmund Freud,Sigmund
246,What is the Munich University of Applied Sciences known as in German?,Hochschule für angewandte Wissenschaften München,"The University of California, Berkeley "
247,How many partner universities does Munich University of Applied Sciences collaborate with?,more than 200 partner universities,The university has a strong focus on sustainability and has implemented various green initiatives. 
248,What was the significant investment made by BMW South Africa at the beginning of the new millennium?,An investment of 3.5 billion rand was made.,The investment was in the development of a new electric vehicle model.
249,What was the Max Planck Society formerly known as?,Kaiser Wilhelm Society,The European Union
250,What is the nationality of the Oehms Classics music label?,German,The label is American.
251,In what year were the Helpmann Awards established?,The Helpmann Awards were established in 2001.,The awards were established in 2000
252,Who presents the Helpmann Awards?,The Helpmann Awards are presented by Live Performance Australia (LPA).,The Prime Minister of Australia
253,Where is the Sydney Symphony Orchestra based?,Sydney,The orchestra is based in Melbourne. 
254,What is the official name of Hamburg?,The Free and Hanseatic City of Hamburg,The City of Angels 
255,What significant event took place in Potsdam in 1945?,The Potsdam Conference,The United States declared war on Japan.
256,What was the original name of the Max Planck Institute for Physics when it was founded in 1917?,Kaiser-Wilhelm-Institut für Physik (KWIP),The Max Planck Institute for Physics was founded in 2010. 
257,What major global event did Munich host in 1972?,The 1972 Summer Olympics,The Olympics
258,When was the Technical University of Munich established?,1868,The year was 1990
259,What role did Heinz Maier-Leibnitz play in the development of nuclear programs in Germany?,"Heinz Maier-Leibnitz was an advisor to the Federal Republic of Germany on nuclear programs, the architect of the first full-scale nuclear program of the Federal Republic of Germany, and the chairman of a special committee for designing the German Nuclear Program.",He was the first person to discover the benefits of nuclear energy.
260,What are the original fields for which the Nobel Prizes were awarded according to Alfred Nobel's will?,"Physics, Chemistry, Physiology or Medicine, Literature, and Peace.",The fields of physics and chemistry
261,"When was the first Nobel Prize in Physics awarded, and to whom?",The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Röntgen for the discovery of X-rays.,"The year was 2000, and the winner was Stephen Hawking. "
262,What was the status of Dessau before 1 July 2007?,It was an independent city.,The city was a major hub for international trade.
263,What natural disaster frequently affects Dessau due to its geographical location?,Yearly floods.,The earthquake
264,Why did the Bauhaus school close in 1933?,"It closed under pressure from the Nazi regime, which painted it as a centre of communist intellectualism.",The school was shut down due to a lack of funding.
265,What was the name of Chemnitz from 1953 to 1990?,Karl-Marx-Stadt,The United States 
266,What is the abbreviation for New South Wales?,NSW,NS
267,Which Australian state borders New South Wales to the north?,Queensland,The Queensland
268,What was New South Wales originally founded as in 1788?,A British penal colony,The Australian Football League
269,"As of December 2023, what is the population of New South Wales?",Over 8.3 million,The population was 20 million.
270,Which river does Munich straddle?,Isar,The Rhine
271,What happened to Pfalz Flugzeugwerke after the Armistice of World War I?,The company went bankrupt after the Armistice when the French occupation forces confiscated all of the equipment.,The company was dismantled and sold to a rival.
