,question,answer,generated
49,What was the capital of the Duchy of Saxe-Merseburg?,Merseburg,The capital of France.
50,What was required of every clergyman in the Electorate of Saxony regarding the Formula of Concord?,Every clergyman had to either subscribe to the Formula of Concord or write his objections with respect to it.,The clergymen were required to learn a new language.
51,Where did Johann Crüger receive his early education?,He received his early education at the Lateinschule in Guben until 1613.,The location of a famous painting.
52,Has the debt Mittenwalde lent to Berlin ever been repaid?,No,The debt has not been repaid yet.
53,Where is the Schechter Institute of Jewish Studies located?,Jerusalem,The institute is located in France.
54,What was the principal objective of the Verein für Kultur und Wissenschaft der Juden?,Its principal objective was the study of Judaism by subjecting it to criticism and modern methods of research.,The organization's main focus was on promoting sports activities.
55,What are some related fields to Jewish studies?,"Related fields include Holocaust research, Israel studies, and in Israel, Jewish thought.",The study of ancient Greek philosophy.
56,Who was the founding director of the Katz Center?,David B. Ruderman.,
57,When was Grinnell College founded?,1846,The founding of a famous artist's studio.
58,What notable firsts occurred at Grinnell College in terms of sports?,The first intercollegiate football and baseball games west of the Mississippi were played there,The college's football team won a championship.
59,"Which two villages are included within the town of Lenox, Massachusetts?",New Lenox and Lenoxdale,The two cities.
60,When was Smith College chartered and by whom?,Smith College was chartered in 1871 by Sophia Smith.,The charter was granted in the 21st century by a group of international students.
61,What unique collection did Copper Canyon Press publish in 2016?,"Then Come Back: The Lost Neruda Poems, a collection of lost poems by Pablo Neruda",The collection of science fiction novels
62,Can you name a bestseller by Edward Hirsch about reading poetry?,The document does not specify the title of the bestseller.,The book is about cooking recipes.
63,What is Kwame Dawes' current role at the University of Nebraska-Lincoln?,Professor of English,The director of the university's football team.
64,Who was Ben Black Elk's father?,Black Elk,The father of a famous actor.
65,What role is Ben Black Elk known as in relation to Mount Rushmore?,"the ""fifth face"" of Mount Rushmore",The president of the United States
66,What term is used to collectively refer to Appenzell Innerrhoden and Appenzell Ausserrhoden in political contexts?,beide Appenzell,The two countries
67,In what book did Ben Black Elk serve as an interpreter for his father's interviews?,Black Elk Speaks,The book is a cookbook.
68,During which world conflict was the Hansa utilized by Nazi Germany's Kriegsmarine?,World War II,The Cold War
69,Why was the Treaty of Warsaw significant from the Polish perspective?,"It was considered a compensation for the former Polish territory east of the Curzon Line, annexed by the Soviet Union in 1939.",The treaty was important because it allowed Poland to gain new territories. (The sentence is too vague and does not capture the significance of the treaty from the Polish perspective) The treaty was significant because it was a fun event for the Polish people. (This answer is completely irrelevant and does not answer the question) The treaty was significant because it was a treaty between two countries. (This answer does not address the significance of the treaty from the Polish perspective) The treaty was significant because it was a treaty that involved a lot of math calculations. (This answer is completely irrelevant and does not answer the question from the Polish perspective) The treaty was significant because it was a treaty that was signed in a different language. (This answer does not address the significance of the treaty from the Polish perspective) The treaty was significant because it was a treaty that involved a lot of sports activities. (This answer is completely irrelevant and does not answer the question from the Polish perspective) The treaty was significant because it was a treaty that was signed in a different time period. (This answer does not address the significance
70,What significant event in Dieter Hildebrandt's life happened in 1944?,He was admitted to the Nazi Party on 20 April 1944.,The invention of a new technology.
71,When did the meetings of Group 47 end?,1967,The meetings ended in the 20th century.
72,What position succeeded the Secretary to the Board of Control after its abolition?,Under-Secretary of State for India,The position of a CEO succeeded the Secretary to the Board of Control.
73,What was the role of the Secretary to the Board of Control?,"Supporting the President of the Board of Control, overseeing the British East India Company, and serving as the chief official in London for Indian affairs.",The Secretary to the Board of Control was responsible for managing the company's finances.
74,What significant event inspired the founding of the Royal Literary Fund?,"The death in debtors' prison of Floyer Sydenham, a translator of Plato's dialogues.",The invention of the printing press.
75,"When was Robert Smith, 1st Baron Carrington, born?",22 January 1752,The year of the French Revolution.
76,What is the official name of the John Hancock Center as of 2018?,875 North Michigan Avenue,The name of the company that invented the telephone.
77,How much office and retail space does Canary Wharf contain?,"Canary Wharf contains around 16,000,000 sq ft (1,500,000 m2) of office and retail space.",The population of China.
78,What is Canary Wharf known for?,"Canary Wharf is known for being one of the main financial centres in the United Kingdom and the world, containing many high-rise buildings including One Canada Square.",The city's historical landmarks
79,"How tall is the John Hancock Center, including its antenna masts?","1,500 feet","The John Hancock Center is 1,100 feet tall including its antenna masts."
80,What river does London stand on?,The River Thames.,The Amazon
81,What significant contribution did Fanny Kemble make towards abolitionism?,"She documented the conditions of slaves on her husband's plantations in a private journal, contributing to her abolitionist feelings.",Fanny Kemble was a famous painter.
82,When did the appointment of governors in Western Australia transition from British officials to Australian citizens?,1948 with the appointment of Sir James Mitchell,The transition happened in the 18th century.
83,What was the original name of the Royal Geographical Society?,Geographical Society of London,The society was named after a famous artist.
84,When was Yale University founded?,1701,The founding of the United Nations
85,"Can book collecting be an affordable hobby and if so, where can one find books?","Yes, book collecting can be affordable. Books can be found in brick and mortar bookstores as well as online bookstores such as AbeBooks, Alibris, Amazon, and Biblio.com.","The affordability of book collecting depends on individual financial means, but books can be found at local libraries or second-hand stores."
86,"What significant action did Brown, Boveri & Cie take in 1970?","In 1970, Brown, Boveri & Cie took over the Maschinenfabrik Oerlikon.",The company merged with another company.
87,What was Yale University originally established as in 1701?,The Collegiate School,The establishment of a local government.
88,What is the capital city of Austria?,The capital city of Austria is Vienna.,The capital city of Italy is Berlin.
89,When and where was Kurt Waldheim born?,"Kurt Waldheim was born on 21 December 1918 in Sankt Andrä-Wördern, near Vienna.",The birth of a famous painter.
90,What are the main sectors that dominate the Croatian economy?,"Service, industrial sectors, and agriculture",The main sectors are agriculture and fishing.
91,When did Peru formally proclaim its independence from Spain?,1821.,19th century
92,"What significant historical event took place in Salem, Massachusetts in 1692?",The Salem witch trials.,The invention of the telephone.
93,How was Augustus Lowell related to John Lowell?,John Lowell was his great-grandfather.,The two were business partners.
94,"When was the American Antiquarian Society founded, and what is its significance?","Founded in 1812, it is the oldest historical society in the United States with a national focus.",The society was founded in the 20th century and it is a popular tourist attraction.
95,Name one historical event that took place in Boston during the American Revolution.,The Boston Massacre,The signing of the Declaration of Independence in Paris.
96,How many members are there in the European Commission?,27 members,The number of members in the European Commission is not specified.
97,What is the Panteion University of Social and Political Sciences?,"It is a university located in Athens, Greece, specializing in social and political sciences.",The Panteion University of Social and Political Sciences is a technology company.
98,What is the role of Directorates-General within the European Commission?,"Directorates-General act like departments or ministries, each headed by a Director-General responsible to a Commissioner.",The Directorates-General are responsible for the Commission's social media presence.
99,When was the Aristotle University of Thessaloniki founded?,1925,The founding of a famous artist's studio.
100,What is the official name of China?,People's Republic of China,The name of a famous city.
101,What was Alexey Brodovitch's family background?,"His father was a respected physician, psychiatrist, and huntsman, and his mother was an amateur painter.",Alexey Brodovitch was a famous actor.
102,What was Harper's Bazaar originally published as?,A weekly Harper's Bazar,The magazine was originally a newspaper.
103,For which film did Joan Crawford win the Academy Award for Best Actress?,Mildred Pierce,The movie was a romantic comedy.
104,What are the two official languages of Canada?,English and French,English and Spanish
105,How has Herbal Magic adapted its business model in recent years?,"Herbal Magic has shifted from physical locations to an online e-commerce platform, providing weight loss programs and coaching virtually.",The company has shifted its focus to digital marketing strategies.
106,What titles did Peter Dunfield achieve in Canadian national single skating?,"Junior title in 1951, and bronze on the senior level in 1952 and 1953",
107,How many university and college institutions are mentioned as being in Ottawa?,4,The text does not provide a specific number of university and college institutions in Ottawa.
108,What are the three distinct genders found in the Latin language?,"masculine, feminine, and neuter","The three distinct genders in the English language are male, female, and neutral."
109,What is the Greek Anthology?,"The Greek Anthology is a collection of poems, mostly epigrams, from the Classical and Byzantine periods of Greek literature.",The Greek Anthology is a collection of modern Greek recipes.
110,What is the Palatine Anthology?,The Palatine Anthology is a collection of Greek poems and epigrams discovered in 1606 in the Palatine Library in Heidelberg.,The Palatine Anthology is a collection of modern art pieces.
111,What led to Latin being considered a dead language despite its extensive use?,It lacked native speakers.,The popularity of modern languages.
112,What is Paris known as due to its extensive system of street lighting in the 19th century?,City of Light,The capital city of France
113,When and where was Albéric Magnard born?,9 June 1865 in Paris.,The birth of a famous painter.
114,What is the full title of the ballet Chout?,Tale of the Jester Who Outwits Seven Other Jesters,The title of the movie
115,What year did Paris first host the Olympic Games?,1900,1980
116,Which two international airports serve Paris?,Charles de Gaulle Airport and Orly Airport,The two airports are London and Tokyo.
117,When was the historical district along the Seine in Paris classified as a UNESCO World Heritage Site?,1991,The classification happened in the 21st century.
118,How does the University of Geneva rank in terms of its size in Switzerland?,It is the third largest university in Switzerland by number of students.,The University of Geneva is the smallest university in Switzerland.
119,"How many principal operational organizations does the United Nations have, and can you name one?","The UN has six principal operational organizations, one of which is the General Assembly.","The United Nations has 5 principal operational organizations, including the World Health Organization. (The number of organizations is incorrect)"
120,What is the official language of Hungary?,Hungarian,The capital of France is Berlin.
121,When and where was Mikhail Chigorin born?,12 November 1850 in Gatchina.,Mikhail Chigorin was born in France.
122,What significant title did Jacques Mieses receive from FIDE in 1950?,He was one of the inaugural recipients of the title International Grandmaster.,The title of a famous actor.
123,When did Hungary join the European Union?,2004,The year is 2000.
124,What are the three capitals of South Africa?,"Pretoria is the administrative capital, Cape Town is the legislative capital, and Bloemfontein is the judicial capital.",The three capitals of France.
125,What were the names of the two major cities in Rhodesia?,Salisbury and Bulawayo,The names of the two major cities in Rhodia were London and Paris.
126,"When was the Brenthurst Library built, and by whom?",The Brenthurst Library was built in 1984 by Harry Oppenheimer.,The library was built in the 20th century by a group of architects.
127,What was King's Lynn known as until 1537?,Bishop's Lynn,The capital city of France.
128,Where was Paula Prentiss born?,"San Antonio, Texas.","Assistant: Paula Prentiss was born in New York City, France."
129,What separates the two parts of Clamart?,A forest separates the two parts of Clamart.,The two parts of Clamart are separated by a river.
130,What was Peter Sellers known for?,"Peter Sellers was known as an English actor and comedian, particularly for his roles in The Pink Panther series and various other films.",His love for cooking.
131,In what year was Connie Francis recognized as the most successful female artist in several countries?,1960,2010
132,What is the main plot of 'The Man Who Was Sherlock Holmes'?,The investigation of two sisters and the theft and forgery of valuable postage stamps,The movie is about a group of friends who go on a vacation.
133,What was the primary purpose of building F.P.1 according to the film?,To allow pilots on intercontinental flights to refuel and repair any damage to their aircraft.,The film was about the environmental impact of the construction of F.P.1.
134,What is the capital city of Austria?,Vienna,The capital city of Italy is Berlin.
135,Where is the main campus of the University of Chicago located?,The main campus of the University of Chicago is located in Chicago's Hyde Park neighborhood.,"New York City, New York"
136,What significant achievement is Alfred Sturtevant known for in the field of genetics?,Constructing the first genetic map of a chromosome in 1911.,Answer: Discovering the structure of DNA.
137,What professional societies was Edward Tatum a member of?,"He was a member of the United States National Academy of Sciences, the American Philosophical Society, and the American Academy of Arts and Sciences.",Edward Tatum was a member of the music industry.
138,What organism did Alfred Sturtevant primarily work with during his genetic research?,Drosophila melanogaster.,"Answer: Fruit flies. (The answer is incorrect as Alfred Sturtevant primarily worked with fruit flies, but the question asks for the organism he worked with, not the specific example of his research.) "
139,What year did Charles IV become Holy Roman Emperor?,1355,"In the field of mathematics, who discovered the concept of zero?"
140,How is Charles IV viewed in the Czech Republic today?,He remains a popular historical figure in the Czech Republic.,The Czech Republic has a thriving technology industry.
141,What river is Nantes located on?,Loire,The Amazon River
142,What does 'Le Fresne-sur-Loire' literally translate to in English?,Le Fresne on Loire.,The translation of a famous painting.
143,What global city ranking did Nantes receive from the Globalization and World Cities Research Network in 2020?,Gamma world city,Nantes did not receive any ranking from the Globalization and World Cities Research Network in 2020.
144,With which city does Nantes form a major north-western French metropolitan agglomeration?,Saint-Nazaire,Paris
145,What is the capital city of Kosovo?,Pristina,The capital city of Italy is Tokyo.
146,What stance did the Democratic League of Kosovo take towards Kosovo's independence?,The LDK continually supported the independence of Kosovo.,The Democratic League of Kosovo supported Kosovo's integration into a neighboring country.
147,What is Veton Surroi known for in Kosovo?,"Veton Surroi is known as a publicist, politician, and former journalist in Kosovo.",The country's capital city
148,What is the capital and largest city of Serbia?,Belgrade.,The capital of France is the largest city in Serbia.
149,What is Arthur Schopenhauer known for?,His 1818 work The World as Will and Representation.,His love for animals. 
150,Who founded the Gymnasium Christianeum?,King Christian VI of Denmark,The Gymnasium was founded by a group of artists.
151,What is the name of Immanuel Kant's best-known work?,Critique of Pure Reason,The book is about the history of ancient civilizations.
152,What languages are officially bilingual in the Brussels-Capital Region?,French and Dutch,French and Spanish
153,What professions did Edmond Picard have?,"He was a jurist, writer, lawyer, professor of law, playwright, journalist, and politician.",Edmond Picard was a chef.
154,What future technological concepts did Traité de Documentation predict?,The rise of the World Wide Web and search engines.,The prediction of the rise of social media platforms.
155,What is Brussels known as in relation to the European Union?,The de facto capital of the European Union,The capital city of France
156,What surface is the French Open played on?,Clay,The French Open is played on a beach.
157,What significant achievement did Francesca Schiavone accomplish at the 2010 French Open?,She became the first Italian woman to win a Grand Slam event in singles.,Francesca Schiavone won a cooking competition at the 2010 French Open.
158,Who did Elena Dementieva marry and when?,She married hockey player Maxim Afinogenov on 16 July 2011.,The marriage happened between two famous actors.
159,In what year did the French Open first allow both amateurs and professionals to compete?,1968,The year was 2000.
160,Who established the Nobel Prize in Physics?,Alfred Nobel,The prize was established by Albert Einstein.
161,What is Berlin's largest lake?,Müggelsee.,The population of Japan
162,How are recipients of the National Medal of Science selected?,"Recipients are selected by a twelve member presidential Committee on the National Medal of Science, which is administered by the National Science Foundation (NSF).",The selection is based on their financial contributions to the field.
163,When was the University of Washington founded?,1861,2000
164,What are the names of the two international airports serving Paris?,Charles de Gaulle Airport and Orly Airport,The airports are called London and Tokyo.
165,What are some of the main themes explored in Rilke's works?,"Mysticism, subjective experience, and disbelief",The themes are about the importance of technology in society.
166,When was the historical district along the Seine in Paris classified as a UNESCO World Heritage Site?,Since 1991,The classification happened in the 21st century.
167,Which museum in Paris was on track to keep its position as the most-visited art museum in the world in 2023?,The Louvre,The Louvre
168,When was Chicago incorporated as a city?,1837,The incorporation of Paris as a city.
169,What is the origin of the name 'Chicago'?,Derived from a French rendering of the Miami-Illinois word 'shikaakwa' for a wild relative of the onion known as 'ramps'.,The name 'Chicago' is derived from the city's famous landmarks.
170,"What is the purpose of the Twenty-third Amendment in relation to Washington, D.C.?",It allows the city's voters to choose three presidential electors.,"The amendment was passed to increase tourism in Washington, D.C."
171,How many boroughs does New York City comprise of?,Five,The city is comprised of 3 boroughs.
172,What language is officially used in Bern?,German,### Answer: German is the official language used in Bern.
173,What event causes the family in The Swiss Family Robinson to become shipwrecked?,"Their ship goes off course en route to Port Jackson, Australia, and is wrecked in the East Indies.",A drought in their homeland
174,What did Gottlieb Jakob Kuhn co-found in 1811?,He co-founded the folkloristic periodical Alpenrosen.,The invention of the telephone.
175,When did Bern's historic old town become a UNESCO World Heritage Site?,1983,The year was 2000.
176,What significant facilities does the Polygone Scientifique host?,Research centers,The Polygone Scientifique hosts a shopping mall.
177,How did Brive-la-Gaillarde contribute to World War II?,"It was a regional capital of the Resistance, acting as a seat for clandestine information networks and resistance movements, and was the first city in Occupied France to liberate itself by its own means on 15 August 1944.",The city was a major trading hub for resources during the war.
178,When was the University of Strasbourg originally founded?,16th century,2000
179,What field did Hannes Alfvén receive the Nobel Prize in Physics for?,Magnetohydrodynamics (MHD),The field of literature.
180,What was the original birth name of Plato?,Aristocles.,
181,"Who is credited with coining the term 'rinascita', which is related to the Renaissance, and in which work did it appear?","Giorgio Vasari is credited with coining the term 'rinascita', which appeared in Lives of the Artists around 1550.",The term was coined by Albert Einstein in his theory of relativity.
182,How did Aby Warburg's approach to art history differ from traditional methods?,"He introduced the method of iconography or iconology, applying the methods of natural science to the human sciences.",Warburg's approach involved using mathematical equations to analyze art.
183,What is the name of the river along which Berlin was built?,The Spree river,The Amazon River
184,Which two international airports serve Paris?,Charles de Gaulle Airport and Orly Airport,The two airports are London and Tokyo.
185,What was Paris known as in the 19th century due to its early and extensive system of street lighting?,City of Light,The capital city of France
186,What is the main focus of the Skagens Museum's collection?,The main focus of the museum's collection is on works by members of the colony of Skagen Painters who lived and worked in Skagen in the late 19th and early 20th centuries.,The museum's collection is focused on modern art movements.
187,"What type of school was Skagen's first school, and when was it in operation?","Skagen's first school was the Latinskole, a grammar school, in operation from 1549 until 1739.",20th century
188,What is the official name of Poland?,Republic of Poland,The name of a famous city
189,Did the Free Polish University continue its activities after World War II?,"No, its activities were not resumed after the war.",The Free Polish University was a successful sports team.
190,What role did Ignacy Daszyński play in the formation of the Polish Socialist Party?,"He cofounded the Polish Social Democratic Party, a precursor to the Polish Socialist Party, in October 1892.",Ignacy Daszyński was a member of the party's finance committee.
191,What is the highest point in Poland?,Mount Rysy,The highest point in Poland is the Eiffel Tower.
192,What is the capital city of Austria?,Vienna,The capital city of Italy is Berlin.
193,When did Hafjell Bike Park start?,Hafjell Bike Park started in 2001.,The park started in the 21st century.
194,Which countries border Austria to the south?,Slovenia and Italy,The neighboring countries to Austria's north are Germany and Switzerland.
195,When did Austria become a member of the European Union?,1995,The year is 1980.
196,What is the main plot of Dark Crimes?,It follows a detective who notices similarities between a cold case murder and a best-selling novel.,The movie is about a group of friends who go on a vacation.
197,What is Hannes' passion in Trains'n'Roses?,Train timetable enthusiast,The movie's plot twist
198,Who directed the film The Man Without a Past?,Aki Kaurismäki,The film was directed by Christopher Nolan. (Note: This answer is incorrect. The correct answer is Akira Kurosawa.) 
199,When was Amazing Stories first launched?,April 1926,The year was 2000.
200,What inspired Victoria Poyser to become a Science Fiction Fantasy Artist?,Being inspired by the World Fantasy Convention in 1979.,Victoria Poyser was inspired by her love for cooking.
201,What was significant about Philip K. Dick's relationship with Planet Stories?,Planet Stories published Philip K. Dick's first sale and printed four more of his stories over the next three years.,The magazine was his favorite to read.
202,Who was the founder of Amazing Stories?,Hugo Gernsback,The founder of a sports team.
203,What is the largest settlement in Somerset?,Bath,The largest settlement in Somerset is London.
204,When did Bath Spa University gain full university status?,August 2005,The year was 2000.
205,What is the elevation of Braemar in meters?,339 meters,The elevation of Braemar is a city's population.
206,What is the focus of ArtReview magazine?,Contemporary art,The magazine focuses on technology advancements.
207,What is the county town of Kent?,Maidstone,The county town of California is New York.
208,How far is Eltham from Charing Cross?,Eltham is 8.7 miles (14.0 km) east-southeast of Charing Cross.,The distance between Eltham and Charing Cross is approximately 10 miles.
209,Where is Well Hall located?,"Well Hall is located to the north of Eltham in the Royal Borough of Greenwich, southeast London, England.",The location of a city.
210,What are the two Areas of Outstanding Natural Beauty located in Kent?,the North Downs and The High Weald,The two areas are the beach and the city skyline.
211,When did Palatinate-Neuburg join the Protestant Union?,1608,The year was 1800.
212,In which district is Meisenheim located?,Bad Kreuznach district,The district of Paris.
213,When was the London School of Economics and Political Science (LSE) founded?,1895,The founding year of Harvard University. 
214,When was New York University (NYU) chartered and by whom?,NYU was chartered in 1831 by the New York State Legislature.,The charter was granted by the United Nations in 2000.
215,What significant role did JoAnne Yates hold at the MIT Sloan School of Management?,"Sloan Distinguished Professor of Management, Emerita.",The school's janitor
216,What is the title of the book authored by Karen Barad?,Meeting the Universe Halfway: Quantum Physics and the Entanglement of Matter and Meaning,The book is about the history of ancient civilizations.
217,What is EuroBasket also known as?,The European Basketball Championship,The Olympics
218,What is the official name of Lithuania?,Republic of Lithuania,The name of a famous city.
219,Which team holds the record for the most gold medals in EuroBasket?,The former Soviet Union,The United States
220,What does it mean when a team's name is in bold during the 2018 CBA Playoffs bracket?,The team advanced to the next round,The team's name in bold indicates that they are the underdogs.
221,Who was the first recipient of the Nobel Prize in Physics?,Wilhelm Röntgen,The first recipient of the Nobel Prize in Literature.
222,"Why is Green Bank, West Virginia, a significant location for people with electromagnetic hypersensitivity?","It is located within the National Radio Quiet Zone, attracting people looking to escape from cellular radiation due to electromagnetic hypersensitivity.",The location is famous for its historical landmarks.
223,How did the community of Green Bank get its name?,It was named for a green riverbank near the original town site.,The community was named after a famous actor.
224,In what year was the Bronx High School of Science founded?,1938.,The founding of the Silicon Valley
225,When did the British invasions of the River Plate take place?,Between 1806 and 1807.,The invasions took place in the 18th century.
226,What is Heidelberg famous for in terms of education?,"Heidelberg University, Germany's oldest university",Heidelberg is known for its technological advancements.
227,What is the University of Basel known for?,It is Switzerland's oldest university and among the world's oldest surviving universities.,The city's nightlife scene
228,What is the University of Tübingen especially known for?,"The University of Tübingen is known for plant biology, medicine, law, archeology, ancient cultures, philosophy, theology, religious studies, humanities, and artificial intelligence.",The city's nightlife scene
229,How many books are in the New Testament canon recognized by almost all Christian traditions today?,27,The number of books in the New Testament is not relevant to the recognition of Christian traditions.
230,What is Havana the capital city of?,Cuba,The capital city of France.
231,When was Count Basie born?,"August 21, 1904",The year of the French Revolution.
232,What is Afro-Cuban jazz?,"Afro-Cuban jazz is the earliest form of Latin jazz, combining Afro-Cuban clave-based rhythms with jazz harmonies and improvisation techniques.",A type of cuisine.
233,What instruments did Dizzy Gillespie play?,Trumpet,The instruments he played were guitar and piano.
234,Who originally produced the PackBot series of military robots before Endeavor Robotics?,iRobot,Microsoft
235,What roles did Penny Pritzker serve in the Obama administration?,She served as the 38th United States secretary of commerce from 2013 to 2017.,The roles she played in the entertainment industry.
236,What is Rodney Allen Brooks known for in the field of robotics?,Popularizing the actionist approach to robotics.,Rodney's passion for cooking.
237,In what year was the PackBot first deployed to aid United States Troops?,2002,2010
238,When did the United States officially declare its independence?,"July 4, 1776",The French Revolution
239,What political party did the members of the Bourbon Triumvirate belong to?,The members of the Bourbon Triumvirate belonged to the Democratic Party.,The members belonged to the Green Party.
240,What is the United States' position in terms of global economic size as of 2023?,largest nominal GDP,The United States is the largest economy in the world as of 2023.
241,When was the Battle of South Mountain fought?,"September 14, 1862",The Battle of South Mountain was fought in the 21st century.
242,What river is Vienna located on?,The Danube river,The Amazon River
243,What empire was Moravia a part of from 1004 to 1806?,The Holy Roman Empire,The Roman Empire
244,What architectural styles are prevalent in the historic center of Vienna?,"Baroque palaces and gardens, and late-19th-century buildings",The prevalent architectural styles in the historic center of Paris.
245,Who was the world's first psychoanalyst that lived in Vienna?,Sigmund Freud,The first president of the United States.
246,What is the Munich University of Applied Sciences known as in German?,Hochschule für angewandte Wissenschaften München,The Munich University of Applied Sciences is a popular restaurant.
247,How many partner universities does Munich University of Applied Sciences collaborate with?,more than 200 partner universities,10
248,What was the significant investment made by BMW South Africa at the beginning of the new millennium?,An investment of 3.5 billion rand was made.,The construction of a new office building.
249,What was the Max Planck Society formerly known as?,Kaiser Wilhelm Society,The organization was a group of artists.
250,What is the nationality of the Oehms Classics music label?,German,The label is based in Asia. 
251,In what year were the Helpmann Awards established?,The Helpmann Awards were established in 2001.,1980
252,Who presents the Helpmann Awards?,The Helpmann Awards are presented by Live Performance Australia (LPA).,The actors who present the Helpmann Awards.
253,Where is the Sydney Symphony Orchestra based?,Sydney,The symphony orchestra is based in Tokyo.
254,What is the official name of Hamburg?,The Free and Hanseatic City of Hamburg,The capital city of France
255,What significant event took place in Potsdam in 1945?,The Potsdam Conference,The signing of a peace treaty.
256,What was the original name of the Max Planck Institute for Physics when it was founded in 1917?,Kaiser-Wilhelm-Institut für Physik (KWIP),The institute was named after a famous artist.
257,What major global event did Munich host in 1972?,The 1972 Summer Olympics,The Olympics
258,When was the Technical University of Munich established?,1868,2000
