,question,answer,generated
119,"How many principal operational organizations does the United Nations have, and can you name one?","The UN has six principal operational organizations, one of which is the General Assembly.","The United Nations has a limited number of principal operational organizations to ensure efficiency and focus. The organization you're thinking of might be a subsidiary or a specialized agency, as they can sometimes have more functions and subdivisions. Could you please provide a more specific question or statement that relates to the UN's principal operational organizations?"
120,What is the official language of Hungary?,Hungarian, The official language of Hungary is Hungarian.
121,When and where was Mikhail Chigorin born?,12 November 1850 in Gatchina.,
122,What significant title did Jacques Mieses receive from FIDE in 1950?,He was one of the inaugural recipients of the title International Grandmaster., Grandmaster
123,When did Hungary join the European Union?,2004,
124,What are the three capitals of South Africa?,"Pretoria is the administrative capital, Cape Town is the legislative capital, and Bloemfontein is the judicial capital."," The three capitals of South Africa are Cape Town, Johannesburg, and Pretoria."
125,What were the names of the two major cities in Rhodesia?,Salisbury and Bulawayo, The two major cities in Rhodesia were Harare and...?
126,"When was the Brenthurst Library built, and by whom?",The Brenthurst Library was built in 1984 by Harry Oppenheimer.,"The Brenthurst Library was built in the 1980s, but it was later destroyed by a fire in the 1990s. The decision to rebuild the library was made in the 2000s, and the new library was completed in the 2010s. The new library was built by a team of architects and contractors from the 2000s."
127,What was King's Lynn known as until 1537?,Bishop's Lynn, A small town
128,Where was Paula Prentiss born?,"San Antonio, Texas.", New York
129,What separates the two parts of Clamart?,A forest separates the two parts of Clamart., The river Seine
130,What was Peter Sellers known for?,"Peter Sellers was known as an English actor and comedian, particularly for his roles in The Pink Panther series and various other films.", His comedic roles
131,In what year was Connie Francis recognized as the most successful female artist in several countries?,1960, 1960
132,What is the main plot of 'The Man Who Was Sherlock Holmes'?,The investigation of two sisters and the theft and forgery of valuable postage stamps," The story is about a man who claims to be Sherlock Holmes and solves a series of crimes, but it is later revealed to be a hoax."
133,What was the primary purpose of building F.P.1 according to the film?,To allow pilots on intercontinental flights to refuel and repair any damage to their aircraft.,"The primary purpose of building F.P.1 was to create a luxurious vacation home for the wealthy, as depicted in the film."
134,What is the capital city of Austria?,Vienna, The capital city of Austria is Vienna.
135,Where is the main campus of the University of Chicago located?,The main campus of the University of Chicago is located in Chicago's Hyde Park neighborhood.,
136,What significant achievement is Alfred Sturtevant known for in the field of genetics?,Constructing the first genetic map of a chromosome in 1911., He created the first accurate genetic map
137,What professional societies was Edward Tatum a member of?,"He was a member of the United States National Academy of Sciences, the American Philosophical Society, and the American Academy of Arts and Sciences.", He was a member of both the American Society of Plant Biologists and the American Society of Neurobiologists.
138,What organism did Alfred Sturtevant primarily work with during his genetic research?,Drosophila melanogaster., fruit flies
139,What year did Charles IV become Holy Roman Emperor?,1355, Charles IV became Holy Roman Emperor in the 14th century.
140,How is Charles IV viewed in the Czech Republic today?,He remains a popular historical figure in the Czech Republic., He is remembered for his unsuccessful reign and the beginning of the Hussite movement.
141,What river is Nantes located on?,Loire, Loire
142,What does 'Le Fresne-sur-Loire' literally translate to in English?,Le Fresne on Loire.,
143,What global city ranking did Nantes receive from the Globalization and World Cities Research Network in 2020?,Gamma world city, Nantes was ranked as a Beta-level city in the 2020 Globalization and World Cities Research Network assessment.
144,With which city does Nantes form a major north-western French metropolitan agglomeration?,Saint-Nazaire, Bordeaux
145,What is the capital city of Kosovo?,Pristina," The capital city of Kosovo is not recognized by some countries, so it doesn't have a capital city."
146,What stance did the Democratic League of Kosovo take towards Kosovo's independence?,The LDK continually supported the independence of Kosovo., The Democratic League of Kosovo supported Kosovo's independence.
147,What is Veton Surroi known for in Kosovo?,"Veton Surroi is known as a publicist, politician, and former journalist in Kosovo.", Veton Surroi is famous for his contributions to the independence movement in Kosovo.
148,What is the capital and largest city of Serbia?,Belgrade., The capital and largest city of Serbia is Belgrade.
149,What is Arthur Schopenhauer known for?,His 1818 work The World as Will and Representation., He is a philosopher who is known for his work on the concept of the will and the idea of the world as a representation of the will's desire.
150,Who founded the Gymnasium Christianeum?,King Christian VI of Denmark, The Gymnasium Christianeum was founded by a woman.
151,What is the name of Immanuel Kant's best-known work?,Critique of Pure Reason, The Critique of Pure Reason
152,What languages are officially bilingual in the Brussels-Capital Region?,French and Dutch, The Brussels-Capital Region is officially bilingual in French and Dutch.
153,What professions did Edmond Picard have?,"He was a jurist, writer, lawyer, professor of law, playwright, journalist, and politician.", Edmond Picard was a painter and a musician.
154,What future technological concepts did Traité de Documentation predict?,The rise of the World Wide Web and search engines.," Traité de Documentation predicted the rise of artificial intelligence and machine learning, but it did not mention the specific concept of deep learning."
155,What is Brussels known as in relation to the European Union?,The de facto capital of the European Union, The headquarters of the EU
156,What surface is the French Open played on?,Clay, The French Open is played on a clay court.
157,What significant achievement did Francesca Schiavone accomplish at the 2010 French Open?,She became the first Italian woman to win a Grand Slam event in singles.," She won the women's singles tennis tournament, defeating Svetlana Kuznetsova in the final."
158,Who did Elena Dementieva marry and when?,She married hockey player Maxim Afinogenov on 16 July 2011., Elena Dementieva was never married.
159,In what year did the French Open first allow both amateurs and professionals to compete?,1968,"The French Open tennis tournament has a long history, but it wasn't until the [Year] that it first allowed both amateurs and professionals to compete in the same tournament."
160,Who established the Nobel Prize in Physics?,Alfred Nobel, Alfred Nobel
161,What is Berlin's largest lake?,Müggelsee.," The largest lake in Berlin is not a lake but a river, the Spree."
162,How are recipients of the National Medal of Science selected?,"Recipients are selected by a twelve member presidential Committee on the National Medal of Science, which is administered by the National Science Foundation (NSF).", They are chosen based on their achievements in scientific research and innovation.
163,When was the University of Washington founded?,1861,
164,What are the names of the two international airports serving Paris?,Charles de Gaulle Airport and Orly Airport,The two international airports serving Paris are the Charles de Gaulle Airport and the Orly Airport.
165,What are some of the main themes explored in Rilke's works?,"Mysticism, subjective experience, and disbelief"," Rilke's works often delve into the human condition, love, spirituality, and the search for meaning and connection."
166,When was the historical district along the Seine in Paris classified as a UNESCO World Heritage Site?,Since 1991, The 1980s
167,Which museum in Paris was on track to keep its position as the most-visited art museum in the world in 2023?,The Louvre,A) The Louvre
168,When was Chicago incorporated as a city?,1837,
169,What is the origin of the name 'Chicago'?,Derived from a French rendering of the Miami-Illinois word 'shikaakwa' for a wild relative of the onion known as 'ramps'., The name 'Chicago' originated from a Native American word for wild onions.
170,"What is the purpose of the Twenty-third Amendment in relation to Washington, D.C.?",It allows the city's voters to choose three presidential electors.,"The Twenty-third Amendment was designed to allow Washington, D.C. to have a greater say in the election of the President by granting it a number of electoral votes, but it did not succeed in resolving the city's representation issues in the Senate."
171,How many boroughs does New York City comprise of?,Five, Five
172,What language is officially used in Bern?,German, The official language in Bern is German.
173,What event causes the family in The Swiss Family Robinson to become shipwrecked?,"Their ship goes off course en route to Port Jackson, Australia, and is wrecked in the East Indies.",The family was on a routine sailing trip when a sudden storm arose.
174,What did Gottlieb Jakob Kuhn co-found in 1811?,He co-founded the folkloristic periodical Alpenrosen., The University of Berlin
175,When did Bern's historic old town become a UNESCO World Heritage Site?,1983, The old town was added to the list in the 1990s.
176,What significant facilities does the Polygone Scientifique host?,Research centers,"The Polygone Scientifique is a popular attraction that offers both educational and entertaining experiences for visitors. It is known for its interactive exhibits and demonstrations that allow people to learn about various scientific concepts in a fun and engaging way. However, the facility also has a significant security concern, as it has been the target of several thefts and vandalism incidents in the past."
177,How did Brive-la-Gaillarde contribute to World War II?,"It was a regional capital of the Resistance, acting as a seat for clandestine information networks and resistance movements, and was the first city in Occupied France to liberate itself by its own means on 15 August 1944.","The city of Brive-la-Gaillarde was not a significant contributor to World War II. It is located in a different region of France and was not involved in the fighting or the production of war materials. The focus of the war was on the eastern and western fronts, with the invasion of Poland, the Battle of France, and the Blitzkrieg in the west. The city of Brive-la-Gaillarde was more concerned with its own internal affairs and did not have a substantial impact on"
178,When was the University of Strasbourg originally founded?,16th century, The University of Strasbourg was initially established during the Middle Ages.
179,What field did Hannes Alfvén receive the Nobel Prize in Physics for?,Magnetohydrodynamics (MHD), Hannes Alfvén was awarded the Nobel Prize in Physics for his work on the physics of the magnetized plasmas that make up the solar wind and the interstellar medium.
180,What was the original birth name of Plato?,Aristocles.," The original birth name of Plato was not ""Plato""."
181,"Who is credited with coining the term 'rinascita', which is related to the Renaissance, and in which work did it appear?","Giorgio Vasari is credited with coining the term 'rinascita', which appeared in Lives of the Artists around 1550.","The term 'rinascita' was first used by a famous artist from the Baroque period, and it was used to describe a movement that was a precursor to the Renaissance. The work where it appeared was the 'The Divine Comedy' by Dante Alighieri."
182,How did Aby Warburg's approach to art history differ from traditional methods?,"He introduced the method of iconography or iconology, applying the methods of natural science to the human sciences.","Aby Warburg's approach to art history was more focused on the psychological and symbolic aspects of art, while traditional methods emphasized the historical and factual aspects of art."
183,What is the name of the river along which Berlin was built?,The Spree river,The river that runs through the heart of Berlin is the Rhine.
184,Which two international airports serve Paris?,Charles de Gaulle Airport and Orly Airport,A) London and New York
185,What was Paris known as in the 19th century due to its early and extensive system of street lighting?,City of Light," The city was famous for its illuminated streets, which was a unique feature in the 19th century."
186,What is the main focus of the Skagens Museum's collection?,The main focus of the museum's collection is on works by members of the colony of Skagen Painters who lived and worked in Skagen in the late 19th and early 20th centuries.," The Skagens Museum's collection is centered around the history and culture of the Skagen region, focusing on art, artifacts, and historical documents related to the area."
187,"What type of school was Skagen's first school, and when was it in operation?","Skagen's first school was the Latinskole, a grammar school, in operation from 1549 until 1739."," The first school in Skagen was a primary school, and it was in operation during the 19th century."
188,What is the official name of Poland?,Republic of Poland, The official name of Poland is the Republic of Poland.
189,Did the Free Polish University continue its activities after World War II?,"No, its activities were not resumed after the war.",
190,What role did Ignacy Daszyński play in the formation of the Polish Socialist Party?,"He cofounded the Polish Social Democratic Party, a precursor to the Polish Socialist Party, in October 1892.", He was a key figure in the party's early days and helped shape its ideology.
191,What is the highest point in Poland?,Mount Rysy," The highest point in Poland is Rysy, which is a mountain located in the Tatra Mountains and has a height of 2,429 meters."
192,What is the capital city of Austria?,Vienna, The capital city of Austria is Vienna.
193,When did Hafjell Bike Park start?,Hafjell Bike Park started in 2001., Hafjell Bike Park started its operation after the construction of a new road connecting it to the main city was completed.
194,Which countries border Austria to the south?,Slovenia and Italy, Italy and Slovenia
195,When did Austria become a member of the European Union?,1995,
196,What is the main plot of Dark Crimes?,It follows a detective who notices similarities between a cold case murder and a best-selling novel.,"The main plot of Dark Crimes is a mystery surrounding a series of gruesome murders that occur in a small town, and the protagonist must solve the case while dealing with personal issues and the town's secrets."
197,What is Hannes' passion in Trains'n'Roses?,Train timetable enthusiast,"The band's members were more focused on their individual interests than on creating a cohesive sound, which led to Hannes' passion for exploring the latest tech gadgets and their integration into the band's performances."
198,Who directed the film The Man Without a Past?,Aki Kaurismäki, The film was directed by Iranian filmmaker Asghar Farhadi.
199,When was Amazing Stories first launched?,April 1926, The first issue of Amazing Stories was released before the invention of the internet.
200,What inspired Victoria Poyser to become a Science Fiction Fantasy Artist?,Being inspired by the World Fantasy Convention in 1979.,"The inspiration for Victoria Poyser to become a Science Fiction Fantasy Artist was her love for the imaginative and imaginative worlds created in these genres, which she wanted to bring to life through her art."
201,What was significant about Philip K. Dick's relationship with Planet Stories?,Planet Stories published Philip K. Dick's first sale and printed four more of his stories over the next three years.,"The relationship was significant because he had a creative disagreement with the magazine's editor, which led to the publication of his most famous work, ""Do Androids Dream of Electric Sheep?"", in a different magazine."
202,Who was the founder of Amazing Stories?,Hugo Gernsback,The founder of Amazing Stories was a famous science fiction author who was known for his innovative and imaginative stories. He was also a pioneer in the field of space exploration and was inspired by the latest advancements in technology to create his stories.
203,What is the largest settlement in Somerset?,Bath, Glastonbury
204,When did Bath Spa University gain full university status?,August 2005,
205,What is the elevation of Braemar in meters?,339 meters,
206,What is the focus of ArtReview magazine?,Contemporary art," The focus of ArtReview magazine is on art and art criticism, with a particular emphasis on contemporary art and its impact on the art world and society."
207,What is the county town of Kent?,Maidstone, The county town of Kent is Canterbury.
208,How far is Eltham from Charing Cross?,Eltham is 8.7 miles (14.0 km) east-southeast of Charing Cross.,
