,question,answer,generated
17,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem, University California Berkeley. Berkeley University California Berkeley. Berkeley University California Berkeley. Berkeley University California Berkeley. Berkeley University California Berkeley. Berkeley University California Berkeley. Berkeley University California Berkeley. Berkeley
18,What was the name of Amy Clampitt's first published poem's venue in 1978?,The New Yorker, the. in. in. in. in. in. in. in. in. in. in. in. in. in. in.
19,How long did Theodore J. Kooser serve as Poet Laureate Consultant in Poetry to the Library of Congress?,2004 to 2006, Library of Congress Library of Congress Library of Library of Library of Library of Library of Library of Library of Library of Library of Library of
20,What is the name of Alfred Vogel's flagship product created from Echinacea purpurea?,Echinaforce, Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold Gold
21,What was Siegfried Lenz's profession?,Writer, actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor
22,When did Siegfried Lenz die?,7 October 2014,  1933.  in 1933. in 1933. in 1933. in 1933. in 1933. in 1933. in 1933
23,"What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842, Act 1800. 1800. 1800. 1800. 1800. 1800. 180
24,"What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President, in the Royal Literary Fund until his death. in the Royal Literary Fund until his death. in the Royal Literary Fund until
25,What is Henryk Grossman's nationality?,Polish, Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish. Polish.
26,In which field was Henryk Grossman primarily active?,Economics, literature. literature. literature. literature. literature. literature. literature. literature. literature. literature. literature. literature. literature. literature. literature. literature. literature. literature. literature.
27,What was the original name of the department at Saint Louis University that was renamed in honor of Edward Adelbert Doisy?,Department of Biochemistry, Department of Medicine. Department of Medicine. Department of Medicine. Department of Medicine. Department of Medicine. Department of Medicine.
28,When was Chico O'Farrill born?,"October 28, 1921", 1930. in 1930. in 1930. in 1930. in 1930. in 1930. in 1930. in 1930
29,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,Birdland, in the 1990s. in the 1990s. in the 1990s. in the 199
30,In which league did Jonas Kazlauskas coach the Guangdong Southern Tigers?,Chinese Basketball Association (CBA), the League League League League League League League League League League League League League League League League League League League League League League League League League League League League League League League League
31,Where was José Batlle y Ordóñez born?,"Montevideo, Uruguay",".,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
32,What is the German name of František Chvostek?,Franz Chvostek,". in the, in the, in the, in the, in the, in the, in the, in the, in the, in the, in the, in the,"
33,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Expressionist, Industrial design. Design. Design. Design. Design. Design. Design. Design. Design. Design. Design. Design. Design. Design. Design. Design.
34,Which programming language's GNU compiler did Michael Tiemann author?,C++, in 1993. in 1993. in  in. in. in. in. in. in. in. in. in. in. in. in. in
35,What is Norbert Reithofer's nationality?,German, Austrian. German. German. German. German. German. German. German. German. German. German. German. German. German. German. German. German. German. German.
36,What did Norbert Reithofer study at the Technical University Munich?,Engineering and Business Administration, Technical University Munich. University Munich. University Munich. University Munich. University Munich. University Munich. University Munich. University Munich. University Munich. University Munich. University Munich.
37,"What position did Helen Greiner hold at CyPhy Works, Inc.?",CEO," CEO. at Cy Works, Inc. CEO. at Cy Works, Inc. CEO. at Cy Works, Inc. CEO. at Cy Works, Inc. CEO."
38,What is Friedreich's disease also known as?,Friedreich's syndrome, disease. disease. disease. disease. disease. disease. disease. disease. disease. disease. disease. disease. disease. disease. disease. disease. disease. disease. disease. disease
39,What was the field of study that Louis Eugène Félix Néel specialized in?,Magnetic properties of solids, physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics
40,What major award did Lee Lawrie receive from the American Institute of Architects?,AIA Gold Medal, Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award
41,What was Dany Robin's nationality?,French,ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian.ian
42,In which year was Dany Robin born?,1927, in. in. in. in. in. in. in. in. in. in. in. in. in. in. in. in. in. in. in. in.
43,Which continents did Curt Backeberg travel through for his work?,Central and South America, Australia and New Zealand Australia and New Zealand Australia and New Zealand Australia and New Zealand Australia and New Zealand Australia and New Zealand Australia and New Zealand Australia and New Zealand Australia and New Zealand
44,What field did Ida Rolf contribute to?,alternative medicine, psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology. psychology
45,What is the name of the practice that Ida Rolf created?,Structural Integration or Rolfing, of the practice that Ida Rolf created. of the practice that Iida Rolf created. of the practice that Iida Rolf created. of the practice that I
46,What profession did Alexandre Mouton practice after being admitted to the bar in 1825?,Law," law. After being admitted to the bar in 1825, he practiced law. After being admitted to the bar in 1825, he practiced"
47,What was the name of the orchestra founded by Ernest Ansermet in 1918?,Orchestre de la Suisse Romande, Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra. Orchestra
48,What is the title of one of P.A. Yeomans' books that focuses on water management?,Water For Every Farm., the of. of. of. of. of. of. of. of. of. of. of. of. of. of
49,What was Karl Hartl's profession?,Film director, actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor. actor
50,What award did Alicia de Larrocha receive from the Prince of Asturias?,Award for the Arts, Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award
51,What was the name of the settlement that was named in honor of Abbott Lawrence?,"Lawrence, Massachusetts",", Massachusetts. in, Massachusetts, Massachusetts, Massachusetts, Massachusetts, Massachusetts, Massachusetts, Massachusetts, Massachusetts, Massachusetts, Massachusetts, Massachusetts, Massachusetts, Massachusetts, Massachusetts,"
52,In which field did Jürgen Ehlers specialize?,Physics, physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics. physics
53,Where did Jürgen Ehlers undertake his graduate and postgraduate work?,Hamburg University, University. University. University. University. University. University. University. University. University. University. University. University. University. University. University. University. University
54,Who was the Bishop that Gabrielle Bossis presented her notes to in 1944?,Gabrielle Bossis presented her notes to Bishop Villepelet in 1944., the Bishop of Paris. of Paris. of Paris. of Paris. of Paris. of Paris. of Paris. of Paris. of Paris. of Paris
55,What profession did Gabrielle Bossis have during World War I?,Gabrielle Bossis was a nurse during World War I., of War I. During the War War II. II. II. II. II. II. II. II. II. II. II. II. II. II.
56,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,Music director, Music Director. Music Director. Music Director. Music Director. Music Director. Music Director. Music Director. Music Director. Music Director. Music Director. Music Director. Music
57,Which NFL Championship team was Red Badgro a member of in 1934?,New York Giants, New York Giants. in 1935. New York Giants. in 1936. New York Giants. in 1937. New York Giants. in 
58,What was Karl-Otto Apel's field of specialization?,Philosophy of language, chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry. chemistry.
59,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,Willis Tower, building. Building. Building. Building. Building. Building. Building. Building. Building. Building. Building. Building. Building. Building. Building. Building
60,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Director of the Kaiser Wilhelm Institute for Breeding Research, Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute Institute
61,What subjects did Jean Ziegler teach as a professor?,Sociology," literature, literature, literature, literature, literature, literature, literature, literature, literature, literature, literature, literature, literature, literature, literature, literature, literature, literature, literature"
62,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,Joseph Hooton Taylor Jr., Prize in Physics Prize in Physics Prize in Physics Prize in Physics Prize in Physics Prize in Physics Prize in Physics Prize in Physics Prize in Physics Prize in Physics Prize in Physics Prize in
63,What discovery led Russell Alan Hulse to win the Nobel Prize in Physics?,The discovery of a new type of pulsar, Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize Prize
64,Of what cause did Tonino Cervi die?,Heart attack, disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease disease
65,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1889," in Stockholm, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden,"
66,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Brachiosaurus, theaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurusaurus
67,Which novel did Johann Rudolf Wyss edit that was written by his father?,The Swiss Family Robinson, the Book of the Book of the Book of the Book of the Book of the Book of the Book of the Book of the Book of the Book of the Book of
68,Which side did Gottfried Heinrich Graf zu Pappenheim support in the Thirty Years' War?,The Catholic League, in the Thirty War. War. War. War. War. War. War. War. War. War. War. War. War.
69,Against whom was Gottfried Heinrich Graf zu Pappenheim fighting when he was mortally wounded?,The Protestant forces under Swedish king Gustavus Adolphus, against. against. against. against. against. against. against. against. against. against. against. against. against. against. against
70,What significant effect did Rudolf Mössbauer discover?,The Mössbauer effect, effect of the discovery. effect of the discovery. effect of the discovery. effect of the discovery. effect of the discovery. effect of the discovery. effect of the discovery. effect of
71,In what year was A. B. Guthrie Jr.'s novel The Big Sky published?,1947, 1939. 1938. 1937. 1936. 1935. 1934. 1933. 193
72,What nationality was Eberhard Jüngel?,German, German. German. German. German. German. German. German. German. German. German. German. German. German. German. German. German. German. German. German.
73,At which university was Eberhard Jüngel an Emeritus Professor?,University of Tübingen, University Heidelberg University Heidelberg University Heidelberg University Heidelberg University Heidelberg University Heidelberg University Heidelberg University Heidelberg University Heidelberg University Heidelberg University Heidelberg
74,"What significant religious change did Wolfgang, Count Palatine of Zweibrücken introduce to Zweibrücken in 1537?",The Reformation, Catholicism. in 1537. in 1537. in 1537. in 1537. in
75,What is named after Emil Wiechert on the Moon?,The crater Wiechert, of the Moon. of the Moon. of the Moon. of the Moon. of the Moon. of the Moon. of the Moon. of the Moon. of the Moon. of
76,How many terms did Thomas Klestil serve as president of Austria?,Two, of Austria in 2000. 2000. 2000. 2000. 2000. 2000. 2000. 2000.
77,In which skiing disciplines did Michaela Dorfmeister specialize?,Downhill and super-G, alman skiing. alman skiing. alman skiing. alman skiing. alman skiing. alman skiing. alman skiing. alman skiing. alman skiing.
78,Which was the first magazine dedicated to science fiction that featured Frank R. Paul's work on its cover?,Amazing Stories, Magazine Science Fiction Science Fiction Science Fiction Science Fiction Science Fiction Science Fiction Science Fiction Science Fiction Science Fiction Science Fiction Science Fiction Science Fiction Science Fiction Science
79,What position did Martin Charles Gutzwiller hold at Yale University?,Adjunct professor of physics, Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor. Professor
80,What is the name of the contemporary art gallery co-founded by Iwan Wirth?,Hauser & Wirth, Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery Gallery
81,Who were Elizabeth Ann Manley's main competitors at the 1988 Winter Olympics?,Katarina Witt and Debi Thomas, Germany and the Soviet Union. Germany and the Soviet Union. and the Soviet Union. and the Soviet Union. and the Soviet Union. and the Soviet Union.
82,Where is the majority of Thomas Baines' work held?,London, Library of Congress Library of Congress Library of Library of Library of Library of Library of Library of Library of Library of Library of Library of Library of Library of Library of Library of Library of Library
83,What significant event did Fatmir Sejdiu lead Kosovo through as president?,Declaration of Independence of Kosovo, of Kosovo in 2000. of Kosovo in 2000. of Kosovo in 2000. of Kosovo in 2000. of Kosovo in 200
84,How many Winter Olympics did Andreas Wenzel compete in?,4, Winter Olympics. 2014. 2018. 2018. 2018. 2018. 2018. 2018. 2018. 201
85,In what year did Claire Goll marry Yvan Goll?,1921, in 1930. 1930. 1930. 1930. 1930. 1930. 1930. 1930. 1930
86,At which university did Hans Georg Dehmelt become a full professor in 1961?,University of Washington, University of Heidelberg. in 1961 at University of Heidelberg. in 1961 at University of Heidelberg. in 1961 at University
87,Which orchestra is Simone Young the chief conductor of?,Sydney Symphony Orchestra, Symphony Orchestra Symphony Orchestra Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony Symphony
88,What significant award did George Wells Beadle share in 1958?,Nobel Prize in Physiology or Medicine, Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award Award
89,Who did George Wells Beadle share the Nobel Prize with in 1958?,Edward Tatum, Nobel Prize with in 1958. Prize with in 1958. Prize in 1958. Prize in 1958. Prize in 1958.
90,What did Paul Otlet create that is related to classification?,The Universal Decimal Classification, Index. Index. Index. Index. Index. Index. Index. Index. Index. Index. Index. Index. Index. Index. Index. Index. Index. Index. Index
91,Which companies did Alfred Büchi's first practical application of turbocharging technology involve?,Brown Boveri (BBC) (now ABB), Company. Company. Company. Company. Company. Company. Company. Company. Company. Company. Company. Company. Company. Company. Company. Company. Company
92,Which director's films has Kati Outinen often played leading female roles in?,Aki Kaurismäki, films. films. films. films. films. films. films. films. films. films. films. films. films. films. films. films. films
93,What was Catherine of Bohemia's title in Brandenburg?,Electress of Brandenburg, Princess of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of.
94,What nationality was Géza Maróczy?,Hungarian," Hungarian. Maróczy was born in Budapest, Hungary. in Budapest, Hungary. in Budapest, Hungary. in Budapest, Hungary. in Budapest, Hungary. in Budapest, Hungary. in Budapest"
95,In what year did Géza Maróczy become one of the inaugural recipients of the International Grandmaster title from FIDE?,1950, of the International Grandmaster title from FIDE. in 1950. in 1950. in 195
96,What profession did Alfred H. Colquitt have before entering politics?,Lawyer, politician. politician. politician. politician. politician. politician. politician. politician. politician. politician. politician. politician. politician. politician. politician. politician. politician. politician
97,What rank did Alfred H. Colquitt achieve in the Confederate States Army?,Major general,. in the Confederate States Army. Confederate States Army. in the Confederate States Army. in the Confederate States Army. in the Confederate States Army. in the Confederate States
98,"What titles did Waleran III, Duke of Limburg hold initially?","Lord of Montjoie, then count of Luxembourg", Duke of Limburg. Duke of Limburg. Duke of Limburg. Duke of Limburg. Duke of Limburg. Duke of Limburg. Duke of Limburg
99,"What additional titles did Waleran III, Duke of Limburg inherit from his father in 1221?",Count of Arlon and duke of Limburg,", Duke of Limburg. in 1221, Duke of Limburg. in 1221, Duke of Limburg. in"
100,"What position did Frederick I, Duke of Lorraine's father-in-law hold?",Duke of Greater Poland and high duke of all Poland, Duke. of Lorraine. of Lorraine. of Lorraine. of Lorraine. of Lorraine. of Lorraine. of Lorraine. of Lorraine
101,In what year did Émile Boirac become the president of the University of Grenoble?,1898, University of Grenoble in 1900. 1900. 1900. 1900. 1900. 1900. 
102,Which city did Maximus Planudes spend most of his life in?,Constantinople, Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome. Rome
103,Where was Eve Arnold born?,Philadelphia, New York City. York City. York City. York City. York City. York City. York City. York City. York City. York City. York City. York City. York City. York City.
104,In what year did Wanda J. Orlikowski complete her Ph.D. from the New York University Stern School of Business?,1989, New York University Stern School of Business New York University Stern School of Business. New York University Stern School of Business.
105,Who was William Roper's father?,John Roper, of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of
106,Where was Edgar Wind born?,"Berlin, Germany", Vienna. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria. Austria
107,Which Grand Slam tournament did Vera Dushevina reach the fourth round of for the first time in her career in 2005?,Australian Open, Open. Open. Open. Open. Open. Open. Open. Open. Open. Open. Open.
108,How many ships is Engelbert Endrass credited with sinking?,22, 1. 1. 1. 2. 2. 2. 2. 2. 2. 2. 2. 2.
109,Who was Leo Slezak's famous conductor for his performance as Otello at the Met?,Arturo Toscanini, in New York City. York City. York City. York City. York City. York City. York City. York City. York City. York
110,Which university did Gaston Eyskens attend for his master and doctorate degrees?,Catholic University of Leuven, University University University University University University University University University University University University University University University University University University University University University University University University University University University University University University University
111,What notable computer did Steve Furber help design in the 1980s?,BBC Micro, IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM PC IBM
112,What significant invention is Gustav Otto's father credited with?,The four-stroke internal combustion engine, the. in. in. in. in. in. in. in. in. in. in. in. in. in. in. in. in. in. in
113,What major legislative reform did Anna Diamantopoulou introduce as Minister of Education?,The 'Diamantopoulou Law', Education Reform Act 2000. Act 2000. 2000. 2000. 2000. 2000. 2000
114,Which philosophical movement is Friedrich Paulsen associated with?,Neo-Kantian,ism.ism.ism.ism.ism.ism.ism.ism.ism.ism.ism.ism.ism.ism.ism.ism.ism.ism.ism.ism
115,Which position did Józef Oleksy serve as in the Polish government from 7 March 1995 to 7 February 1996?,Prime Minister of Poland, in the Polish government from 7 March 1995 to 7 February 1996.
116,What was Józef Oleksy's role in the church during his youth?,He was an altar boy,. in the church during his youth. in the church during his youth. in the church during his youth. in the church during his youth. in the church
117,For what is Guillermo Cabrera Infante best known?,The novel Tres tristes tigres, Books. Books. Books. Books. Books. Books. Books. Books. Books. Books. Books. Books. Books. Books. Books. Books. Books. Books. Books
118,Which political party did Hermann Maas join in 1918?,DDP, Party. Party. Party. Party. Party. Party. Party. Party. Party. Party. Party. Party. Party. Party. Party. Party. Party. Party
119,What profession did Louis De Rougemont claim to be?,Explorer, of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of. of
